RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,COMMENT
1,1,305,340,0.897058824,0,0,COST_OF_ATTEND,,,USE as dummy
1,2,297,340,0.873529412,0,0,COST_OF_ATTEND,,,
1,3,286,340,0.841176471,0,0,COST_OF_ATTEND,,,
1,4,277,340,0.814705882,0,0,COST_OF_ATTEND,,,
1,5,185,340,0.544117647,0,150540,COST_OF_ATTEND,,,
1,6,247,340,0.726470588,150540,902760,COST_OF_ATTEND,,,
1,7,250,340,0.735294118,902760,1171380,COST_OF_ATTEND,,,
1,8,288,340,0.847058824,1171380,1264860,COST_OF_ATTEND,,,
1,9,265,340,0.779411765,1264860,1409460,COST_OF_ATTEND,,,
1,10,277,340,0.814705882,1409460,2124900,COST_OF_ATTEND,,,
