RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,leave it as continous variable
1,1,304,340,0.894117647,1,1,DISTANCE_FROM_HOME,,,
1,2,244,340,0.717647059,1,5,DISTANCE_FROM_HOME,,,
1,3,254,340,0.747058824,5,12,DISTANCE_FROM_HOME,,,
1,4,271,340,0.797058824,12,12,DISTANCE_FROM_HOME,,,
1,5,250,340,0.735294118,12,59,DISTANCE_FROM_HOME,,,
1,6,300,340,0.882352941,59,59,DISTANCE_FROM_HOME,,,
1,7,305,340,0.897058824,59,59,DISTANCE_FROM_HOME,,,
1,8,293,340,0.861764706,59,59,DISTANCE_FROM_HOME,,,
1,9,226,340,0.664705882,59,59,DISTANCE_FROM_HOME,,,
1,10,230,340,0.676470588,59,72,DISTANCE_FROM_HOME,,,
