RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,comment
1,1,300,340,0.882352941,0,0,EST_FAM_CONTRIBUTION,,,use as dummy
1,2,296,340,0.870588235,0,0,EST_FAM_CONTRIBUTION,,,
1,3,293,340,0.861764706,0,0,EST_FAM_CONTRIBUTION,,,
1,4,286,340,0.841176471,0,0,EST_FAM_CONTRIBUTION,,,
1,5,267,340,0.785294118,0,0,EST_FAM_CONTRIBUTION,,,
1,6,201,340,0.591176471,0,0,EST_FAM_CONTRIBUTION,,,
1,7,227,340,0.667647059,0,167940,EST_FAM_CONTRIBUTION,,,
1,8,260,340,0.764705882,169140,525900,EST_FAM_CONTRIBUTION,,,
1,9,276,340,0.811764706,526380,1179600,EST_FAM_CONTRIBUTION,,,
1,10,271,340,0.797058824,1179720,5999940,EST_FAM_CONTRIBUTION,,,
