RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,,comment 
1,1,295,340,0.867647059,9,12,FIRST_TERM_ATTEMPT_HRS,,,,Use as dummy
1,2,256,340,0.752941176,12,12,FIRST_TERM_ATTEMPT_HRS,,,,
1,3,264,340,0.776470588,12,13,FIRST_TERM_ATTEMPT_HRS,,,,
1,4,278,340,0.817647059,13,13,FIRST_TERM_ATTEMPT_HRS,,,,
1,5,262,340,0.770588235,13,14,FIRST_TERM_ATTEMPT_HRS,,,,
1,6,264,340,0.776470588,14,15,FIRST_TERM_ATTEMPT_HRS,,,,
1,7,295,340,0.867647059,15,15,FIRST_TERM_ATTEMPT_HRS,,,,
1,8,265,340,0.779411765,15,15,FIRST_TERM_ATTEMPT_HRS,,,,
1,9,245,340,0.720588235,15,16,FIRST_TERM_ATTEMPT_HRS,,,,
1,10,253,340,0.744117647,16,21,FIRST_TERM_ATTEMPT_HRS,,,,
