RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,,comment
1,1,236,340,0.694117647,0,8,FIRST_TERM_EARNED_HRS,,,,use as dummy
1,2,270,340,0.794117647,8,10,FIRST_TERM_EARNED_HRS,,,,
1,3,277,340,0.814705882,10,12,FIRST_TERM_EARNED_HRS,,,,
1,4,289,340,0.85,12,12,FIRST_TERM_EARNED_HRS,,,,
1,5,233,340,0.685294118,12,13,FIRST_TERM_EARNED_HRS,,,,
1,6,297,340,0.873529412,13,13,FIRST_TERM_EARNED_HRS,,,,
1,7,276,340,0.811764706,13,14,FIRST_TERM_EARNED_HRS,,,,
1,8,272,340,0.8,14,15,FIRST_TERM_EARNED_HRS,,,,
1,9,265,340,0.779411765,15,15,FIRST_TERM_EARNED_HRS,,,,
1,10,262,340,0.770588235,15,21,FIRST_TERM_EARNED_HRS,,,,
