RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,comment
1,1,296,340,0.870588235,0,0,GROSS_FIN_NEED,,,use as dummy
1,2,301,340,0.885294118,0,0,GROSS_FIN_NEED,,,
1,3,296,340,0.870588235,0,0,GROSS_FIN_NEED,,,
1,4,280,340,0.823529412,0,0,GROSS_FIN_NEED,,,
1,5,288,340,0.847058824,0,0,GROSS_FIN_NEED,,,
1,6,243,340,0.714705882,0,0,GROSS_FIN_NEED,,,
1,7,173,340,0.508823529,0,301440,GROSS_FIN_NEED,,,
1,8,265,340,0.779411765,304200,840960,GROSS_FIN_NEED,,,
1,9,266,340,0.782352941,842220,1180020,GROSS_FIN_NEED,,,
1,10,269,340,0.791176471,1182180,2124900,GROSS_FIN_NEED,,,
