"RETURNED_2ND_YR","rank","n","N","percent","greater_than","less_than","var_name"
1,1,251,335,0.749253731343284,0,2.6,"HIGH_SCHL_GPA"
1,2,253,335,0.755223880597015,2.6,2.8,"HIGH_SCHL_GPA"
1,3,268,335,0.8,2.8,2.94,"HIGH_SCHL_GPA"
1,4,235,334,0.703592814371258,2.94,3.07,"HIGH_SCHL_GPA"
1,5,272,335,0.811940298507463,3.07,3.2,"HIGH_SCHL_GPA"
1,6,253,335,0.755223880597015,3.2,3.33,"HIGH_SCHL_GPA"
1,7,268,334,0.802395209580838,3.33,3.48,"HIGH_SCHL_GPA"
1,8,279,335,0.832835820895522,3.5,3.64,"HIGH_SCHL_GPA"
1,9,278,335,0.829850746268657,3.64,3.81,"HIGH_SCHL_GPA"
1,10,282,334,0.844311377245509,3.81,4,"HIGH_SCHL_GPA"
1,NA,38,53,0.716981132075472,NA,NA,"HIGH_SCHL_GPA"
