RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,comment
1,1,289,340,0.85,200602,200602,SECOND_TERM,,,USE as dummy
1,2,269,340,0.791176471,200602,200702,SECOND_TERM,,,
1,3,273,340,0.802941176,200702,200802,SECOND_TERM,,,
1,4,292,340,0.858823529,200802,200802,SECOND_TERM,,,
1,5,255,340,0.75,200802,200902,SECOND_TERM,,,
1,6,274,340,0.805882353,200902,200902,SECOND_TERM,,,
1,7,263,340,0.773529412,200902,201002,SECOND_TERM,,,
1,8,264,340,0.776470588,201002,201002,SECOND_TERM,,,
1,9,265,340,0.779411765,201002,201102,SECOND_TERM,,,
1,10,233,340,0.685294118,201102,201102,SECOND_TERM,,,
