RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,,comment
1,1,293,340,0.861764706,1,3,SECOND_TERM_ATTEMPT_HRS,,,,use as dummy
1,2,260,340,0.764705882,3,4,SECOND_TERM_ATTEMPT_HRS,,,,
1,3,288,340,0.847058824,4,4,SECOND_TERM_ATTEMPT_HRS,,,,
1,4,268,340,0.788235294,4,5,SECOND_TERM_ATTEMPT_HRS,,,,
1,5,237,340,0.697058824,5,6,SECOND_TERM_ATTEMPT_HRS,,,,
1,6,187,340,0.55,6,7,SECOND_TERM_ATTEMPT_HRS,,,,
1,7,288,340,0.847058824,7,7,SECOND_TERM_ATTEMPT_HRS,,,,
1,8,290,340,0.852941176,7,8,SECOND_TERM_ATTEMPT_HRS,,,,
1,9,297,340,0.873529412,8,9,SECOND_TERM_ATTEMPT_HRS,,,,
1,10,269,340,0.791176471,9,22,SECOND_TERM_ATTEMPT_HRS,,,,
