RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,,,comment
1,1,281,340,0.826470588,1,5,SECOND_TERM_EARNED_HRS,,,,use as dummy
1,2,296,340,0.870588235,5,5,SECOND_TERM_EARNED_HRS,,,,
1,3,174,340,0.511764706,5,6,SECOND_TERM_EARNED_HRS,,,,
1,4,255,340,0.75,6,7,SECOND_TERM_EARNED_HRS,,,,
1,5,278,340,0.817647059,7,8,SECOND_TERM_EARNED_HRS,,,,
1,6,294,340,0.864705882,8,9,SECOND_TERM_EARNED_HRS,,,,
1,7,281,340,0.826470588,9,10,SECOND_TERM_EARNED_HRS,,,,
1,8,302,340,0.888235294,10,12,SECOND_TERM_EARNED_HRS,,,,
1,9,244,340,0.717647059,12,22,SECOND_TERM_EARNED_HRS,,,,
1,10,272,340,0.8,22,24,SECOND_TERM_EARNED_HRS,,,,
