RETURNED_2ND_YR,rank,n,N,percent,greater_than,less_than,var_name,,COMMENT
1,1,266,340,0.782352941,16,18,STDNT_AGE,,USE as dummy
1,2,292,340,0.858823529,18,18,STDNT_AGE,,"<18 low,>18 mid,18 min"
1,3,298,340,0.876470588,18,18,STDNT_AGE,,
1,4,304,340,0.894117647,18,18,STDNT_AGE,,
1,5,299,340,0.879411765,18,18,STDNT_AGE,,
1,6,285,340,0.838235294,18,18,STDNT_AGE,,
1,7,280,340,0.823529412,18,18,STDNT_AGE,,
1,8,258,340,0.758823529,18,18,STDNT_AGE,,
1,9,216,340,0.635294118,18,18,STDNT_AGE,,
1,10,179,340,0.526470588,18,26,STDNT_AGE,,
