"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"ANTH 1105",39,48,0.8125,"CORE_COURSE_NAME_1_F"
"2",1,"ANTH 1105I",9,9,1,"CORE_COURSE_NAME_1_F"
"3",1,"ANTH 1107",8,9,0.888888888888889,"CORE_COURSE_NAME_1_F"
"4",1,"ARAB 1001",1,1,1,"CORE_COURSE_NAME_1_F"
"5",1,"ARTH 1100",139,183,0.759562841530055,"CORE_COURSE_NAME_1_F"
"6",1,"ARTH 1100I",6,9,0.666666666666667,"CORE_COURSE_NAME_1_F"
"7",1,"ASTR 1105",11,13,0.846153846153846,"CORE_COURSE_NAME_1_F"
"8",1,"ASTR 1305",2,2,1,"CORE_COURSE_NAME_1_F"
"9",1,"BIOL 1125",42,50,0.84,"CORE_COURSE_NAME_1_F"
"10",1,"BIOL 1215K",40,55,0.727272727272727,"CORE_COURSE_NAME_1_F"
"11",1,"CHEM 1151",135,175,0.771428571428571,"CORE_COURSE_NAME_1_F"
"12",1,"CHEM 1151L",19,22,0.863636363636364,"CORE_COURSE_NAME_1_F"
"13",1,"CHEM 1211",160,202,0.792079207920792,"CORE_COURSE_NAME_1_F"
"14",1,"CHEM 1211L",10,11,0.909090909090909,"CORE_COURSE_NAME_1_F"
"15",1,"COMM 1110",229,278,0.823741007194245,"CORE_COURSE_NAME_1_F"
"16",1,"COMM 1110H",2,2,1,"CORE_COURSE_NAME_1_F"
"17",1,"COMM 1110I",10,12,0.833333333333333,"CORE_COURSE_NAME_1_F"
"18",1,"CPSC 1105",24,34,0.705882352941177,"CORE_COURSE_NAME_1_F"
"19",1,"CPSC 1301",55,74,0.743243243243243,"CORE_COURSE_NAME_1_F"
"20",1,"CPSC 1301L",7,9,0.777777777777778,"CORE_COURSE_NAME_1_F"
"21",1,"ECON 2105",66,90,0.733333333333333,"CORE_COURSE_NAME_1_F"
"22",1,"ECON 2106",69,98,0.704081632653061,"CORE_COURSE_NAME_1_F"
"23",1,"ENGL 1101",501,624,0.802884615384615,"CORE_COURSE_NAME_1_F"
"24",1,"ENGL 1101I",9,11,0.818181818181818,"CORE_COURSE_NAME_1_F"
"25",1,"ENGL 1102",24,28,0.857142857142857,"CORE_COURSE_NAME_1_F"
"26",1,"ENVS 1105",25,29,0.862068965517241,"CORE_COURSE_NAME_1_F"
"27",1,"ENVS 1105I",4,5,0.8,"CORE_COURSE_NAME_1_F"
"28",1,"FREN 1001",10,14,0.714285714285714,"CORE_COURSE_NAME_1_F"
"29",1,"FREN 1002",3,3,1,"CORE_COURSE_NAME_1_F"
"30",1,"GEOG 1101I",5,7,0.714285714285714,"CORE_COURSE_NAME_1_F"
"31",1,"GEOL 1110",14,18,0.777777777777778,"CORE_COURSE_NAME_1_F"
"32",1,"GEOL 1121",8,8,1,"CORE_COURSE_NAME_1_F"
"33",1,"GEOL 1121L",1,1,1,"CORE_COURSE_NAME_1_F"
