"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"ANTH 1105",17,22,0.772727272727273,"CORE_COURSE_NAME_2_S"
"2",1,"ANTH 1105I",6,8,0.75,"CORE_COURSE_NAME_2_S"
"3",1,"ANTH 1107",4,5,0.8,"CORE_COURSE_NAME_2_S"
"4",1,"ARTH 1100",64,78,0.82051282051282,"CORE_COURSE_NAME_2_S"
"5",1,"ASTR 1105",6,7,0.857142857142857,"CORE_COURSE_NAME_2_S"
"6",1,"BIOL 1125",19,22,0.863636363636364,"CORE_COURSE_NAME_2_S"
"7",1,"BIOL 1215K",46,59,0.779661016949153,"CORE_COURSE_NAME_2_S"
"8",1,"BIOL 1225K",2,2,1,"CORE_COURSE_NAME_2_S"
"9",1,"CHEM 1151",31,40,0.775,"CORE_COURSE_NAME_2_S"
"10",1,"CHEM 1151L",25,30,0.833333333333333,"CORE_COURSE_NAME_2_S"
"11",1,"CHEM 1211",13,19,0.684210526315789,"CORE_COURSE_NAME_2_S"
"12",1,"CHEM 1211L",19,22,0.863636363636364,"CORE_COURSE_NAME_2_S"
"13",1,"COMM 1110",175,208,0.841346153846154,"CORE_COURSE_NAME_2_S"
"14",1,"COMM 1110H",1,1,1,"CORE_COURSE_NAME_2_S"
"15",1,"COMM 1110I",3,4,0.75,"CORE_COURSE_NAME_2_S"
"16",1,"CPSC 1105",43,46,0.934782608695652,"CORE_COURSE_NAME_2_S"
"17",1,"CPSC 1301",8,11,0.727272727272727,"CORE_COURSE_NAME_2_S"
"18",1,"CPSC 1301L",8,10,0.8,"CORE_COURSE_NAME_2_S"
"19",1,"ECON 2105",61,78,0.782051282051282,"CORE_COURSE_NAME_2_S"
"20",1,"ECON 2106",31,34,0.911764705882353,"CORE_COURSE_NAME_2_S"
"21",1,"ENGL 1101",115,143,0.804195804195804,"CORE_COURSE_NAME_2_S"
"22",1,"ENGL 1101I",3,3,1,"CORE_COURSE_NAME_2_S"
"23",1,"ENGL 1102",521,617,0.844408427876823,"CORE_COURSE_NAME_2_S"
"24",1,"ENGL 2111",5,5,1,"CORE_COURSE_NAME_2_S"
"25",1,"ENGL 2136",8,9,0.888888888888889,"CORE_COURSE_NAME_2_S"
"26",1,"ENVS 1105",18,23,0.782608695652174,"CORE_COURSE_NAME_2_S"
"27",1,"FREN 1001",16,20,0.8,"CORE_COURSE_NAME_2_S"
"28",1,"FREN 1002",6,6,1,"CORE_COURSE_NAME_2_S"
"29",1,"FREN 2001",4,4,1,"CORE_COURSE_NAME_2_S"
"30",1,"GEOG 1101I",4,4,1,"CORE_COURSE_NAME_2_S"
"31",1,"GEOL 1110",23,27,0.851851851851852,"CORE_COURSE_NAME_2_S"
"32",1,"GEOL 1121",7,10,0.7,"CORE_COURSE_NAME_2_S"
"33",1,"GEOL 1121L",2,2,1,"CORE_COURSE_NAME_2_S"
"34",1,"GEOL 2225",1,1,1,"CORE_COURSE_NAME_2_S"
"35",1,"HIST 1111",20,26,0.769230769230769,"CORE_COURSE_NAME_2_S"
"36",1,"HIST 1112",23,27,0.851851851851852,"CORE_COURSE_NAME_2_S"
"37",1,"HIST 1112I",12,14,0.857142857142857,"CORE_COURSE_NAME_2_S"
"38",1,"HIST 2111",132,164,0.804878048780488,"CORE_COURSE_NAME_2_S"
"39",1,"HIST 2112",121,150,0.806666666666667,"CORE_COURSE_NAME_2_S"
"40",1,"ITDS 1145",14,16,0.875,"CORE_COURSE_NAME_2_S"
"41",1,"ITDS 1146",6,7,0.857142857142857,"CORE_COURSE_NAME_2_S"
"42",1,"ITDS 1155",6,7,0.857142857142857,"CORE_COURSE_NAME_2_S"
"43",1,"ITDS 1156",6,7,0.857142857142857,"CORE_COURSE_NAME_2_S"
"44",1,"ITDS 2726",7,7,1,"CORE_COURSE_NAME_2_S"
