"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"SCHOOL 1",176,209,0.842105263157895,"HIGH_SCHL_NAME"
"2",1,"SCHOOL 10",198,238,0.831932773109244,"HIGH_SCHL_NAME"
"3",1,"SCHOOL 100",2,5,0.4,"HIGH_SCHL_NAME"
"4",1,"SCHOOL 101",1,1,1,"HIGH_SCHL_NAME"
"5",1,"SCHOOL 102",1,2,0.5,"HIGH_SCHL_NAME"
"6",1,"SCHOOL 106",5,5,1,"HIGH_SCHL_NAME"
"7",1,"SCHOOL 108",9,9,1,"HIGH_SCHL_NAME"
"8",1,"SCHOOL 109",3,7,0.428571428571429,"HIGH_SCHL_NAME"
"9",1,"SCHOOL 11",186,249,0.746987951807229,"HIGH_SCHL_NAME"
"10",1,"SCHOOL 111",4,8,0.5,"HIGH_SCHL_NAME"
"11",1,"SCHOOL 112",1,1,1,"HIGH_SCHL_NAME"
"12",1,"SCHOOL 113",2,2,1,"HIGH_SCHL_NAME"
"13",1,"SCHOOL 114",1,1,1,"HIGH_SCHL_NAME"
"14",1,"SCHOOL 115",4,4,1,"HIGH_SCHL_NAME"
"15",1,"SCHOOL 119",4,4,1,"HIGH_SCHL_NAME"
"16",1,"SCHOOL 12",11,12,0.916666666666667,"HIGH_SCHL_NAME"
"17",1,"SCHOOL 120",6,8,0.75,"HIGH_SCHL_NAME"
"18",1,"SCHOOL 121",12,19,0.631578947368421,"HIGH_SCHL_NAME"
"19",1,"SCHOOL 122",1,1,1,"HIGH_SCHL_NAME"
"20",1,"SCHOOL 126",1,1,1,"HIGH_SCHL_NAME"
"21",1,"SCHOOL 127",2,5,0.4,"HIGH_SCHL_NAME"
"22",1,"SCHOOL 128",1,2,0.5,"HIGH_SCHL_NAME"
"23",1,"SCHOOL 129",15,20,0.75,"HIGH_SCHL_NAME"
"24",1,"SCHOOL 13",27,31,0.870967741935484,"HIGH_SCHL_NAME"
"25",1,"SCHOOL 130",203,245,0.828571428571429,"HIGH_SCHL_NAME"
"26",1,"SCHOOL 131",3,5,0.6,"HIGH_SCHL_NAME"
"27",1,"SCHOOL 132",3,5,0.6,"HIGH_SCHL_NAME"
"28",1,"SCHOOL 134",1,1,1,"HIGH_SCHL_NAME"
"29",1,"SCHOOL 135",2,5,0.4,"HIGH_SCHL_NAME"
"30",1,"SCHOOL 136",1,2,0.5,"HIGH_SCHL_NAME"
"31",1,"SCHOOL 137",2,6,0.333333333333333,"HIGH_SCHL_NAME"
"32",1,"SCHOOL 138",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"33",1,"SCHOOL 139",8,9,0.888888888888889,"HIGH_SCHL_NAME"
"34",1,"SCHOOL 14",26,36,0.722222222222222,"HIGH_SCHL_NAME"
"35",1,"SCHOOL 140",6,9,0.666666666666667,"HIGH_SCHL_NAME"
"36",1,"SCHOOL 141",22,28,0.785714285714286,"HIGH_SCHL_NAME"
"37",1,"SCHOOL 142",2,2,1,"HIGH_SCHL_NAME"
"38",1,"SCHOOL 143",3,3,1,"HIGH_SCHL_NAME"
"39",1,"SCHOOL 144",5,7,0.714285714285714,"HIGH_SCHL_NAME"
"40",1,"SCHOOL 146",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"41",1,"SCHOOL 147",1,1,1,"HIGH_SCHL_NAME"
"42",1,"SCHOOL 148",11,13,0.846153846153846,"HIGH_SCHL_NAME"
"43",1,"SCHOOL 149",4,4,1,"HIGH_SCHL_NAME"
"44",1,"SCHOOL 15",15,18,0.833333333333333,"HIGH_SCHL_NAME"
"45",1,"SCHOOL 150",2,3,0.666666666666667,"HIGH_SCHL_NAME"
"46",1,"SCHOOL 151",18,22,0.818181818181818,"HIGH_SCHL_NAME"
"47",1,"SCHOOL 152",4,5,0.8,"HIGH_SCHL_NAME"
"48",1,"SCHOOL 153",20,29,0.689655172413793,"HIGH_SCHL_NAME"
"49",1,"SCHOOL 154",1,2,0.5,"HIGH_SCHL_NAME"
"50",1,"SCHOOL 155",3,3,1,"HIGH_SCHL_NAME"
"51",1,"SCHOOL 157",9,10,0.9,"HIGH_SCHL_NAME"
