"","RETURNED_2ND_YR","levels","n","N","percentage","varNames"
"1",1,"Accounting",42,54,0.777777777777778,"STDNT_MAJOR"
"2",1,"Applied Computer Science",27,32,0.84375,"STDNT_MAJOR"
"3",1,"Art",57,75,0.76,"STDNT_MAJOR"
"4",1,"Art Education",7,9,0.777777777777778,"STDNT_MAJOR"
"5",1,"Biology",280,362,0.773480662983425,"STDNT_MAJOR"
"6",1,"Biology and Secondary Ed",2,5,0.4,"STDNT_MAJOR"
"7",1,"Chemistry",54,64,0.84375,"STDNT_MAJOR"
"8",1,"Chemistry and Secondary Ed",2,2,1,"STDNT_MAJOR"
"9",1,"Communication",56,70,0.8,"STDNT_MAJOR"
"10",1,"Computer Science - Games",26,40,0.65,"STDNT_MAJOR"
"11",1,"Computer Science - Systems",49,58,0.844827586206897,"STDNT_MAJOR"
"12",1,"Criminal Justice",69,98,0.704081632653061,"STDNT_MAJOR"
"13",1,"Early Admission - Accel",3,3,1,"STDNT_MAJOR"
"14",1,"Early Childhood Education",153,190,0.805263157894737,"STDNT_MAJOR"
"15",1,"Earth and Space Science",1,2,0.5,"STDNT_MAJOR"
"16",1,"Engineering Studies",45,60,0.75,"STDNT_MAJOR"
"17",1,"English and Secondary Ed",24,28,0.857142857142857,"STDNT_MAJOR"
"18",1,"English Language/Literature",51,60,0.85,"STDNT_MAJOR"
"19",1,"Exercise Science",62,81,0.765432098765432,"STDNT_MAJOR"
"20",1,"Finance",16,24,0.666666666666667,"STDNT_MAJOR"
"21",1,"French",3,4,0.75,"STDNT_MAJOR"
"22",1,"French with Teacher Cert",3,4,0.75,"STDNT_MAJOR"
"23",1,"General Business",73,85,0.858823529411765,"STDNT_MAJOR"
"24",1,"General Studies/AS",10,12,0.833333333333333,"STDNT_MAJOR"
"25",1,"Geology",4,4,1,"STDNT_MAJOR"
"26",1,"Health and Physical Education",15,20,0.75,"STDNT_MAJOR"
"27",1,"Health Science",42,48,0.875,"STDNT_MAJOR"
"28",1,"History",25,33,0.757575757575758,"STDNT_MAJOR"
"29",1,"History and Secondary Ed",20,27,0.740740740740741,"STDNT_MAJOR"
"30",1,"Information Technology",7,10,0.7,"STDNT_MAJOR"
"31",1,"Joint Enrollment - Accel",35,35,1,"STDNT_MAJOR"
"32",1,"Liberal Arts",1,1,1,"STDNT_MAJOR"
"33",1,"Management",57,72,0.791666666666667,"STDNT_MAJOR"
"34",1,"Management Information Systems",14,21,0.666666666666667,"STDNT_MAJOR"
"35",1,"Marketing",44,59,0.745762711864407,"STDNT_MAJOR"
"36",1,"Mathematics",20,26,0.769230769230769,"STDNT_MAJOR"
"37",1,"Mathematics and Secondary Ed",10,11,0.909090909090909,"STDNT_MAJOR"
"38",1,"Middle Grades Education",14,17,0.823529411764706,"STDNT_MAJOR"
"39",1,"Music",11,17,0.647058823529412,"STDNT_MAJOR"
"40",1,"Music Education",88,96,0.916666666666667,"STDNT_MAJOR"
"41",1,"Music Performance",87,99,0.878787878787879,"STDNT_MAJOR"
"42",1,"Nursing",127,164,0.774390243902439,"STDNT_MAJOR"
"43",1,"Political Science",50,64,0.78125,"STDNT_MAJOR"
"44",1,"Pre-Business",101,133,0.759398496240602,"STDNT_MAJOR"
"45",1,"Pre-Engineering/RETP",20,27,0.740740740740741,"STDNT_MAJOR"
"46",1,"Pre-Nursing",130,177,0.734463276836158,"STDNT_MAJOR"
"47",1,"Psychology",112,155,0.72258064516129,"STDNT_MAJOR"
"48",1,"Sociology",16,20,0.8,"STDNT_MAJOR"
"49",1,"Spanish",5,5,1,"STDNT_MAJOR"
"50",1,"Spanish with Teacher Cert",3,4,0.75,"STDNT_MAJOR"
"51",1,"Spec Ed: Gen. Curr. - Reading",10,13,0.769230769230769,"STDNT_MAJOR"
"52",1,"Theatre Arts",119,131,0.908396946564885,"STDNT_MAJOR"
"53",1,"Theatre Education",26,29,0.896551724137931,"STDNT_MAJOR"
"54",1,"Undeclared",349,460,0.758695652173913,"STDNT_MAJOR"
