"","STUDENT.IDENTIFIER","STDNT_AGE","STDNT_GENDER","STDNT_BACKGROUND","IN_STATE_FLAG","INTERNATIONAL_STS","STDNT_TEST_ENTRANCE_COMB","FIRST_TERM","CORE_COURSE_GRADE_1_F","CORE_COURSE_GRADE_2_F","CORE_COURSE_GRADE_3_F","SECOND_TERM","CORE_COURSE_GRADE_1_S","CORE_COURSE_GRADE_2_S","HOUSING_STS","RETURNED_2ND_YR","DISTANCE_FROM_HOME","HIGH_SCHL_GPA","FATHER_HI_EDU_DESC","MOTHER_HI_EDU_DESC","DEGREE_GROUP_DESC","FIRST_TERM_ATTEMPT_HRS","FIRST_TERM_EARNED_HRS","SECOND_TERM_ATTEMPT_HRS","SECOND_TERM_EARNED_HRS","GROSS_FIN_NEED","COST_OF_ATTEND","EST_FAM_CONTRIBUTION","UNMET_NEED","FIRST_TERM_HRS_PERCENTAGE","SECOND_TERM_HRS_PERCENTAGE"
"1",7808615,"mid","F","BGD HIGH","Y","N",1150,200708,"High","High","High",200802,"High","High","On Campus","0",150,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"2",7830063,"mid","F","BGD HIGH","N","N",1190,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"low","College/Beyond","College/Beyond","Bachelors","high","high","high","high","mid","high","mid","mid",1,1
"3",7847538,"mid","M","BGD HIGH","Y","N",1030,201008,"High","High","High",201102,"High","High","On Campus","1",150,"high","High School","Other/Unknown","Bachelors","mid","high","high","high","low","low","low","low",1,1
"4",8006429,"mid","M","BGD HIGH","Y","N",1220,200708,"High","High","Mid",200802,"High","High","On Campus","1",150,"low","College/Beyond","College/Beyond","Bachelors","mid","mid","high","high","low","low","low","low",1,1
"5",7962680,"mid","F","BGD HIGH","Y","N",1190,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","College/Beyond","High School","Bachelors","low","mid","high","high","mid","high","mid","mid",1,1
"6",7815697,"mid","M","BGD HIGH","Y","N",1070,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"high","High School","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"7",7838856,"mid","F","BGD HIGH","Y","N",590,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"8",7960448,"mid","F","BGD HIGH","Y","N",740,200508,"High","High","High",200602,"High","High","Off Campus","1",0,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"9",7944779,"mid","F","BGD MID","Y","N",1070,200508,"High","High","High",200602,"High","High","Off Campus","1",150,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"10",7902044,"mid","F","BGD HIGH","Y","N",970,200608,"High","High","High",200702,"High","High","Off Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"11",7978363,"mid","M","BGD HIGH","N","N",1220,200708,"High","High","High",200802,"High","High","Off Campus","1",4501,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","high","mid","mid",1,0.833333333333333
"12",7884573,"mid","F","BGD HIGH","Y","N",1070,200708,"High","High","High",200802,"High","High","Off Campus","0",69,"high","Middle School/Junior High","High School","Bachelors","high","high","high","high","low","mid","high","low",1,1
"13",7915174,"mid","F","BGD MID","Y","N",1260,200808,"High","High","High",200902,"High","High","Off Campus","1",69,"high","No Information","No Information","Bachelors","high","high","high","high","low","low","low","low",1,1
"14",7793763,"low","M","BGD HIGH","Y","N",1220,200808,"High","High","High",200902,"High","High","Off Campus","1",0,"high","College/Beyond","High School","Bachelors","mid","high","high","high","low","mid","high","low",1,1
"15",7856147,"mid","F","BGD HIGH","Y","N",1260,201008,"High","High","Mid",201102,"High","High","On Campus","1",69,"high","College/Beyond","College/Beyond","Bachelors","mid","high","high","high","low","low","low","low",1,1
"16",7963414,"mid","F","BGD HIGH","Y","N",1220,201008,"High","High","High",201102,"High","High","On Campus","1",150,"high","High School","College/Beyond","Bachelors","high","high","high","high","low","low","low","low",1,1
"17",7824708,"mid","F","BGD HIGH","Y","N",1070,201008,"High","High","High",201102,"High","High","Off Campus","1",69,"mid","High School","College/Beyond","Bachelors","low","mid","high","high","low","low","low","low",1,0.764705882352941
